,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
"coefs[27,1]",2.98824,0.00156028,0.451591,0.436174,2.31847,2.94937,3.78651,93653.5,68398.2,1.00003
"coefs[27,2]",0.349444,0.000870513,0.245955,0.221455,-0.0508819,0.350144,0.750279,82034.0,74015.9,1.00003
"coefs[27,3]",0.169907,0.000837401,0.204943,0.178429,-0.162699,0.17103,0.497308,62116.6,61787.9,1.00005
"coefs[27,4]",0.861398,0.00121702,0.354064,0.331712,0.333448,0.834864,1.48095,93960.9,67382.5,1.00005
"coefs[28,1]",1.29546,0.000544616,0.205121,0.203101,0.965419,1.29094,1.63895,143297.0,91344.0,1.0
"coefs[28,2]",0.267866,0.000474855,0.145236,0.136586,0.0207928,0.273453,0.495896,95863.5,78380.1,1.00002
"coefs[28,3]",0.0265104,0.000461076,0.118808,0.106762,-0.180146,0.0343883,0.207224,71707.3,65883.3,1.00004
"coefs[28,4]",0.613107,0.000532282,0.18751,0.183947,0.317002,0.606719,0.931182,126711.0,89508.0,1.00003
"coefs[29,1]",1.29936,0.00062465,0.218795,0.216675,0.950732,1.29336,1.66826,125390.0,90057.8,1.00005
"coefs[29,2]",0.363836,0.00049788,0.153016,0.145151,0.11713,0.360982,0.619315,95417.5,84770.1,1.00003
"coefs[29,3]",0.0458106,0.000514409,0.130451,0.117526,-0.180405,0.053072,0.245964,67081.4,66816.7,1.00017
"coefs[29,4]",0.74844,0.000625479,0.207433,0.203069,0.425227,0.738308,1.10587,114094.0,86522.4,1.00007
"coefs[30,1]",1.24797,0.000523807,0.203091,0.201278,0.920183,1.24522,1.5873,151086.0,92103.7,1.00001
"coefs[30,2]",0.404742,0.000485833,0.149002,0.140686,0.179612,0.393896,0.666797,98479.3,79642.2,1.00001
"coefs[30,3]",0.0599959,0.000371945,0.113138,0.102666,-0.123396,0.0587905,0.246619,93320.3,76092.1,1.00008
"coefs[30,4]",0.249185,0.000508905,0.183902,0.181266,-0.0599124,0.253163,0.544722,131712.0,91841.0,1.00002
"coefs[31,1]",0.896347,0.000520569,0.189319,0.187446,0.587199,0.894891,1.21066,132599.0,92981.7,1.00002
"coefs[31,2]",0.362275,0.000453437,0.144896,0.136686,0.137239,0.354776,0.611917,104941.0,79891.4,0.999996
"coefs[31,3]",0.00497261,0.000403093,0.113525,0.103519,-0.185888,0.00858477,0.184103,81662.5,67660.3,1.00003
"coefs[31,4]",0.26073,0.000490915,0.175126,0.172504,-0.0305146,0.262474,0.544975,128008.0,91465.6,1.00019
"coefs[32,1]",3.36893,0.00245343,0.548535,0.507909,2.59485,3.30781,4.34266,65902.9,46638.3,1.00004
